issue_code,url,filename,title,edition,number,plausible,error
MN_LMS_746,http://www.mediafire.com/?m7ihtrok6493k6e,LMS - 746 - Mister No - RITUALNI PLES.rar,RITUALNI PLES,LMS,746,True,
MN_LMS_757,http://www.mediafire.com/download.php?3z30r8ludenqc1m,LMS 0757 - Mister No - Strah na Karibima_enwil_borke72.cbr,Strah na Karibima enwil borke72,LMS,757,True,
MN_LMS_759,http://www.mediafire.com/?v7v03ohjpr4zgcw,LMS - 759 - Mister No - NEMOGUCE BEKSTVO.rar,NEMOGUCE BEKSTVO,LMS,759,True,
MN_LMS_759,http://www.mediafire.com/?40n9swijj45980g,LMS 0759 - Mister No - Nemoguce bekstvo_kiseli.cbr,Nemoguce bekstvo kiseli,LMS,759,True,
MN_LMS_765,http://www.mediafire.com/?2hte3co2w9aj4cv,LMS 765 - Mister No - Zlatni kavez (drzeko&folpi).cbr,Zlatni kavez,LMS,765,True,
MN_LMS_777,http://www.mediafire.com/?n7yrxb81477xeai,LMS 777 - Mister No - Decak Santjago (drzeko&folpi).cbr,Decak Santjago,LMS,777,True,
MN_LMS_782,http://www.mediafire.com/download.php?bp2kpq17iut89rz,LMS 0782 - Mister No - Zlato_boyanm.cbr,Zlato boyanm,LMS,782,True,
MN_LMS_783,http://www.mediafire.com/?f9sizpizh9m1vz5,LMS 783 - Mister No - Let za Rio.cbr,Let za Rio,LMS,783,True,
MN_LMS_789,http://www.mediafire.com/?r2hf0usrcfe0a2o,LMS - 789 - Mister No - LICEM U LICE.rar,LICEM U LICE,LMS,789,True,
MN_LMS_789,http://www.mediafire.com/download.php?vis9grue94b7107,LMS 0789 - Mister No - Licem u lice_kiseli.cbr,Licem u lice kiseli,LMS,789,True,
MN_LMS_794,http://www.mediafire.com/download.php?tz6osh5c8glhckt,LMS 0794 - Mister No - Sukob u suton_enwil_borke72.cbr,Sukob u suton enwil borke72,LMS,794,True,
MN_LMS_798,http://www.mediafire.com/?xmzpvyf6ig4ix7o,LMS 0798 - Mister No - Gangsteri_enwil_delfin.cbr,Gangsteri enwil delfin,LMS,798,True,
MN_LMS_799,http://www.mediafire.com/?40yvo275uznlspt,LMS 799 - Mister No - Trka u smrt (drzeko&folpi).cbr,Trka u smrt,LMS,799,True,
MN_LMS_802,http://www.mediafire.com/?bxbtkldbbck68tr,LMS - 802 - Mister No - CRVENE SENKE.rar,CRVENE SENKE,LMS,802,True,
MN_LMS_804,http://www.mediafire.com/download.php?ilz8rq3z3yw40z3,LMS 0804 - Mister No - Vatreno podne_phantom0709_amadeus.cbr,Vatreno podne phantom0709 amadeus,LMS,804,True,
MN_LMS_807,http://www.mediafire.com/?l05q8t67eeqnxjq,LMS 0807 - Mister No - UFO_dejko_unregistred.cbr,UFO dejko unregistred,LMS,807,True,
MN_LMS_818,http://www.mediafire.com/?2rqjw2r4iok0hju,LMS - 818 - Mister No - MILTON GALVAHO.cbr,MILTON GALVAHO,LMS,818,True,
MN_LMS_824,http://www.mediafire.com/?gp7694sg4c14c8p,LMS 0824 - Mister No - U vodama Kariba_dejko_delfin.cbr,U vodama Kariba dejko delfin,LMS,824,True,
